Player_Id,Club_ID,National_ID,Name,Surname,Primary_Number
P001,BAR10000,ARG10000,Lionel,Messi,10
P002,INT10001,BRA10001,Pelé,Junior,30
P003,NAP10002,ARG10002,Diego,Maradona,10
P004,RMA10003,POR10003,Cristiano,Ronaldo,7
P005,RMA10004,FRA10004,Zinedine,Zidane,10
P006,BAR10005,BRA10005,Ronaldinho,Junior,29
P007,BAR10006,NET10006,Johan,Cruyff,14
P008,BAY10007,GER10007,Franz,Beckenbauer,5
P009,JUV10008,FRA10008,Michel,Platini,10
P010,MUT10009,NIR10009,George,Best,7
P011,JUV10010,ITA10010,Roberto,Baggio,10
P012,MIL10011,ITA10011,Paolo,Maldini,3
P013,DYN10012,RUS10012,Lev,Yashin,1
P014,BOT10013,BRA10013,Garrincha,Junior,35
P015,MIL10014,NET10014,Marco,van_Baten, 9
P016,BAR10015,BRA10015,Romário,Junior,1
P017,ARS10016,FRA10016,Thierry,Henry,14
P018,BAR10017,ESP10017,Andrés,Iniesta,8
P019,BAR10018,ESP10018,Xavi,Hernández,6
P020,RMA10019,HUN10019,Ferenc,Puskás,10
P021,RMA10020,ARG10020,Alfredo,Di_Stéfano,9
P022,MIL10021,BRA10021,Kaká,Junior,74
P023,CHE10022,CIV10022,Didier,Drogba,11
P024,MUT10023,ENG10023,David,Beckham,7
P025,MUT10024,ENG10024,Wayne,Rooney,10
P026,MIL10025,SWE10025,Zlatan,Ibrahimović,9
P027,JUV10026,ITA10026,Andrea,Pirlo,21
P028,DEP10027,COL10027,Carlos,Valderrama,10
P029,INT10028,GER10028,Lothar,Matthäus,10
P030,ATA10029,ARG10029,Claudio,Caniggia,7
P031,MCT10030,ARG10030,Sergio,Agüero,10
P032,JUV10031,ITA10031,Gianluigi,Buffon,1
P033,RMA10032,POR10032,Luis,Figo,7
P034,BAY10033,GER10033,Manuel,Neuer,1
P035,MUT10034,ENG10034,Bobby,Charlton,9
P036,MUT10035,WAL10035,Ryan,Giggs,11
P037,MIL10036,NET10036,Ruud,Gullit,10
P038,MUT10037,FRA10037,Eric,Cantona,7
P039,CHE10038,ENG10038,Frank,Lampard,8
P040,LIV10039,ENG10039,Steven,Gerrard,8
P041,BAY10040,GER10040,Philipp,Lahm,21
P042,BAR10041,BRA10041,Rivaldo,Junior,81
P043,BAR10042,BRA10042,Neymar,Jr,10
P044,PSG10043,FRA10043,Kylian,Mbappé,7
P045,BAY10044,POL10044,Robert,Lewandowski,9
P046,MCT10045,NOR10045,Erling,Haaland,9
P047,MCT10046,BEL10046,Kevin,De_Bruyne,17
P048,LIV10047,EGY10047,Mohamed,Salah,11
P049,RMA10048,CRO10048,Luka,Modrić,10
P050,RMA10049,BRA10049,Vinícius,Júnior,7
