National_ID,Nation,Cap,Quality
BRA10001,Brazil,True,True
BRA10005,Brazil,False,True
BRA10013,Brazil,False,True
BRA10015,Brazil,False,True
BRA10041,Brazil,False,True
BRA10042,Brazil,False,True
BRA10021,Brazil,False,True
BRA10049,Brazil,False,True
ARG10000,Argentina,True,True
ARG10030,Argentina,True,True
ARG10002,Argentina,True,True
ARG10020,Argentina,True,True
ARG10029,Argentina,False,True
ITA10031,Italy,True,True
ITA10010,Italy,False,True
ITA10011,Italy,True,True
ITA10026,Italy,False,True
GER10028,Germany,True,True
GER10033,Germany,True,True
GER10007,Germany,True,True
GER10040,Germany,False,True
FRA10008,France,False,True
FRA10037,France,True,True
FRA10016,France,True,True
FRA10004,France,True,True
FRA10043,France,False,True
ENG10038,England,False,True
ENG10034,England,True,True
ENG10039,England,True,True
ENG10024,England,True,True
ENG10023,England,True,True
NET10014,Netherlands,False,True
NET10006,Netherlands,False,True
NET10036,Netherlands,False,True
POR10003,Portugal,True,True
POR10032,Portugal,True,True
ESP10018,Spain,True,True
ESP10017,Spain,True,True
BEL10046,Belgium,False,True
CRO10048,Croatia,True,True
POL10044,Poland,False,True
SWE10025,Sweden,True,True
NIR10009,Northern Ireland,False,True
RUS10012,Russia,True,True
WAL10035,Wales,True,True
CIV10022,Ivory Coast,True,True
EGY10047,Egypt,False,True
NOR10045,Norway,False,True
HUN10019,Hungary,True,True
COL10027,Colombia,False,True
